Date_User,Latitude_User,Longitude_User,AccelerometerX_User,AccelerometerY_User,AccelerometerZ_User
14 January 2021 at 15:52:26 ,47.806646,7.175200,0.006302,-0.632324,-0.775833
14 January 2021 at 15:52:26 ,47.806646,7.175200,0.006653,-0.632812,-0.774918
14 January 2021 at 15:52:26 ,47.806646,7.175200,0.003586,-0.634155,-0.775620
14 January 2021 at 15:52:26 ,47.806646,7.175200,0.003693,-0.634064,-0.777466
14 January 2021 at 15:52:26 ,47.806646,7.175200,0.004623,-0.635025,-0.780487
14 January 2021 at 15:52:26 ,47.806646,7.175200,0.004562,-0.635666,-0.781982
14 January 2021 at 15:52:26 ,47.806646,7.175200,0.005524,-0.635941,-0.779648
14 January 2021 at 15:52:26 ,47.806646,7.175200,0.003479,-0.634460,-0.779022
14 January 2021 at 15:52:26 ,47.806646,7.175200,0.002213,-0.633133,-0.776352
14 January 2021 at 15:52:26 ,47.806646,7.175200,0.001663,-0.632507,-0.773865
14 January 2021 at 15:52:26 ,47.806646,7.175200,0.003616,-0.633011,-0.775055
14 January 2021 at 15:52:26 ,47.806646,7.175200,0.004990,-0.635727,-0.775192
14 January 2021 at 15:52:26 ,47.806646,7.175200,0.005661,-0.634109,-0.775909
14 January 2021 at 15:52:26 ,47.806646,7.175200,0.007965,-0.634415,-0.776215
14 January 2021 at 15:52:26 ,47.806646,7.175200,0.008972,-0.636246,-0.778732
14 January 2021 at 15:52:26 ,47.806646,7.175200,0.005188,-0.635849,-0.778076
14 January 2021 at 15:52:26 ,47.806646,7.175200,0.000427,-0.632858,-0.772919
14 January 2021 at 15:52:26 ,47.806646,7.175200,-0.002167,-0.629730,-0.773590
14 January 2021 at 15:52:26 ,47.806646,7.175200,-0.001572,-0.629532,-0.773224
14 January 2021 at 15:52:26 ,47.806646,7.175200,0.001450,-0.631973,-0.773560
14 January 2021 at 15:52:26 ,47.806646,7.175200,0.006180,-0.634720,-0.779510
14 January 2021 at 15:52:26 ,47.806646,7.175200,0.008179,-0.637512,-0.780426
14 January 2021 at 15:52:26 ,47.806646,7.175200,0.007050,-0.635986,-0.777832
14 January 2021 at 15:52:26 ,47.806646,7.175200,0.004364,-0.634674,-0.776276
14 January 2021 at 15:52:26 ,47.806646,7.175200,0.001984,-0.636719,-0.771164
14 January 2021 at 15:52:27 ,47.806646,7.175200,0.001236,-0.635849,-0.769974
14 January 2021 at 15:52:27 ,47.806646,7.175200,0.001755,-0.634155,-0.772766
14 January 2021 at 15:52:27 ,47.806646,7.175200,0.002518,-0.632690,-0.774689
